pA;pB;strat1;strat6
0.4;0.5;0.49777777777777776;0.46
0.38;0.48;0.46111111111111114;0.4
0.36;0.46;0.45666666666666667;0.44
0.38;0.44;0.44333333333333336;0.45
0.36;0.42;0.45111111111111113;0.45
0.38;0.4;0.4477777777777778;0.5
0.36;0.42;0.4722222222222222;0.43
0.33999999999999997;0.44;0.43222222222222223;0.43
0.31999999999999995;0.46;0.4444444444444444;0.37
0.33999999999999997;0.44;0.4033333333333333;0.34
0.31999999999999995;0.42;0.43444444444444447;0.43
0.30000000000000004;0.4;0.3888888888888889;0.45
0.31999999999999995;0.42;0.4288888888888889;0.33
0.33999999999999997;0.4;0.37555555555555553;0.42
0.36;0.42;0.42333333333333334;0.36
0.33999999999999997;0.4;0.39666666666666667;0.34
0.36;0.42;0.4255555555555556;0.41
0.38;0.4;0.3933333333333333;0.3
0.36;0.38;0.4388888888888889;0.33
0.38;0.4;0.43222222222222223;0.35
0.4;0.42;0.45222222222222225;0.5
0.42000000000000004;0.44;0.4444444444444444;0.32
0.44000000000000006;0.46;0.43333333333333335;0.37
0.4600000000000001;0.44;0.45555555555555555;0.47
0.44000000000000006;0.46;0.43666666666666665;0.36
0.4600000000000001;0.44;0.4622222222222222;0.39
0.44000000000000006;0.46;0.46444444444444444;0.39
0.4600000000000001;0.48;0.4677777777777778;0.33
0.48;0.46;0.46111111111111114;0.36
0.4600000000000001;0.48;0.4955555555555556;0.5
0.44000000000000006;0.5;0.49;0.53
0.42000000000000004;0.48;0.4688888888888889;0.44
0.4;0.5;0.4766666666666667;0.39
0.42000000000000004;0.52;0.4533333333333333;0.33
0.4;0.5;0.4533333333333333;0.44
0.38;0.52;0.4222222222222222;0.43
0.4;0.54;0.4033333333333333;0.35
0.42000000000000004;0.52;0.39666666666666667;0.38
0.4;0.54;0.39555555555555555;0.4
0.42000000000000004;0.52;0.36777777777777776;0.32
0.44000000000000006;0.5;0.37444444444444447;0.4
0.42000000000000004;0.48;0.3811111111111111;0.32
0.4;0.46;0.38555555555555554;0.37
0.38;0.48;0.3877777777777778;0.43
0.36;0.5;0.37666666666666665;0.43
0.38;0.52;0.36666666666666664;0.39
0.4;0.5;0.3477777777777778;0.37
0.38;0.52;0.36;0.3
0.36;0.5;0.3422222222222222;0.31
0.33999999999999997;0.52;0.35444444444444445;0.33
0.36;0.5;0.3422222222222222;0.32
0.33999999999999997;0.52;0.33555555555555555;0.26
0.31999999999999995;0.54;0.33555555555555555;0.22
0.33999999999999997;0.56;0.2877777777777778;0.29
0.31999999999999995;0.58;0.2922222222222222;0.2
0.30000000000000004;0.6;0.24888888888888888;0.26
0.31999999999999995;0.62;0.26555555555555554;0.19
0.33999999999999997;0.64;0.21222222222222223;0.16
0.31999999999999995;0.62;0.21444444444444444;0.18
0.30000000000000004;0.6;0.20444444444444446;0.13
0.28;0.62;0.19333333333333333;0.19
0.30000000000000004;0.6;0.18;0.2
0.28;0.62;0.17666666666666667;0.16
0.30000000000000004;0.6;0.14555555555555555;0.1
0.31999999999999995;0.58;0.16444444444444445;0.09
0.30000000000000004;0.6;0.19111111111111112;0.11
0.31999999999999995;0.58;0.15777777777777777;0.13
0.33999999999999997;0.56;0.18222222222222223;0.11
0.31999999999999995;0.58;0.18777777777777777;0.07
0.30000000000000004;0.6;0.19444444444444445;0.1
0.31999999999999995;0.62;0.17777777777777778;0.08
0.33999999999999997;0.64;0.17666666666666667;0.11
0.31999999999999995;0.62;0.16333333333333333;0.1
0.30000000000000004;0.6;0.16111111111111112;0.09
0.31999999999999995;0.58;0.15777777777777777;0.07
0.33999999999999997;0.56;0.16111111111111112;0.12
0.36;0.58;0.1511111111111111;0.11
0.33999999999999997;0.56;0.16555555555555557;0.11
0.36;0.54;0.17222222222222222;0.19
0.33999999999999997;0.52;0.18888888888888888;0.11
0.36;0.5;0.18888888888888888;0.11
0.38;0.48;0.22111111111111112;0.08
0.4;0.46;0.20333333333333334;0.09
0.38;0.48;0.2411111111111111;0.1
0.36;0.5;0.23222222222222222;0.19
0.38;0.48;0.2577777777777778;0.14
0.4;0.5;0.27666666666666667;0.23
0.42000000000000004;0.48;0.31555555555555553;0.25
0.4;0.46;0.30333333333333334;0.28
0.38;0.44;0.33666666666666667;0.23
0.36;0.46;0.3422222222222222;0.39
0.38;0.48;0.35333333333333333;0.3
0.4;0.46;0.36333333333333334;0.26
0.38;0.44;0.3622222222222222;0.27
0.36;0.46;0.3466666666666667;0.22
0.38;0.44;0.34555555555555556;0.34
0.36;0.42;0.34;0.27
0.33999999999999997;0.44;0.37777777777777777;0.34
0.31999999999999995;0.42;0.37555555555555553;0.32
0.33999999999999997;0.44;0.38555555555555554;0.35
0.36;0.42;0.37555555555555553;0.32
0.38;0.44;0.37;0.37
0.4;0.46;0.3977777777777778;0.39
0.42000000000000004;0.48;0.3988888888888889;0.43
0.4;0.46;0.4122222222222222;0.44
0.38;0.44;0.42333333333333334;0.34
0.4;0.42;0.4255555555555556;0.43
0.38;0.4;0.4011111111111111;0.44
0.4;0.42;0.4066666666666667;0.39
0.42000000000000004;0.44;0.4166666666666667;0.38
0.4;0.42;0.4111111111111111;0.34
0.38;0.4;0.44555555555555554;0.5
0.4;0.42;0.43555555555555553;0.51
0.38;0.44;0.4766666666666667;0.39
0.36;0.42;0.4444444444444444;0.45
0.33999999999999997;0.44;0.45444444444444443;0.45
0.36;0.46;0.4288888888888889;0.43
0.33999999999999997;0.44;0.42777777777777776;0.47
0.31999999999999995;0.42;0.4022222222222222;0.5
0.33999999999999997;0.4;0.41;0.39
0.31999999999999995;0.42;0.3988888888888889;0.37
0.33999999999999997;0.44;0.3977777777777778;0.31
0.36;0.42;0.39555555555555555;0.36
0.38;0.4;0.4311111111111111;0.46
0.4;0.42;0.42777777777777776;0.49
0.38;0.44;0.4288888888888889;0.51
0.4;0.46;0.4288888888888889;0.39
0.42000000000000004;0.44;0.43;0.46
0.44000000000000006;0.42;0.44222222222222224;0.33
0.4600000000000001;0.44;0.4533333333333333;0.41
0.48;0.42;0.4911111111111111;0.45
0.4600000000000001;0.4;0.5111111111111111;0.53
0.44000000000000006;0.38;0.5277777777777778;0.49
0.42000000000000004;0.4;0.5266666666666666;0.54
0.4;0.42;0.5388888888888889;0.39
0.42000000000000004;0.44;0.51;0.54
0.44000000000000006;0.46;0.47888888888888886;0.44
0.42000000000000004;0.44;0.4922222222222222;0.46
0.44000000000000006;0.42;0.4577777777777778;0.47
0.42000000000000004;0.44;0.4822222222222222;0.46
0.4;0.42;0.4855555555555556;0.47
0.42000000000000004;0.44;0.48777777777777775;0.53
0.4;0.46;0.4588888888888889;0.52
0.38;0.44;0.45666666666666667;0.57
0.36;0.42;0.4588888888888889;0.47
0.38;0.4;0.4588888888888889;0.56
0.36;0.38;0.45444444444444443;0.42
0.38;0.36;0.47;0.41
0.4;0.34;0.46;0.46
0.38;0.32;0.5133333333333333;0.46
0.4;0.34;0.5088888888888888;0.55
0.38;0.32;0.5288888888888889;0.44
0.36;0.34;0.49333333333333335;0.5
0.33999999999999997;0.32;0.5277777777777778;0.52
0.36;0.34;0.5122222222222222;0.53
0.33999999999999997;0.32;0.55;0.61
0.36;0.34;0.5233333333333333;0.52
0.38;0.36;0.5333333333333333;0.47
0.36;0.38;0.49666666666666665;0.44
0.33999999999999997;0.4;0.5166666666666667;0.59
0.36;0.42;0.4888888888888889;0.58
0.33999999999999997;0.44;0.49444444444444446;0.45
0.31999999999999995;0.46;0.4688888888888889;0.49
0.33999999999999997;0.48;0.46;0.37
