pA;pB;strat1;strat2
0.5;0.5;0.504;0.49066666666666664
0.52;0.48;0.492;0.4866666666666667
0.54;0.5;0.572;0.4666666666666667
0.52;0.48;0.548;0.49866666666666665
0.5;0.5;0.512;0.5186666666666667
0.48;0.48;0.536;0.52
0.5;0.5;0.556;0.524
0.48;0.48;0.516;0.5293333333333333
0.5;0.5;0.552;0.5533333333333333
0.52;0.48;0.52;0.5586666666666666
0.54;0.46;0.576;0.5706666666666667
0.52;0.44;0.56;0.6306666666666667
0.5;0.42;0.58;0.684
0.52;0.4;0.564;0.7293333333333333
0.54;0.42;0.572;0.7666666666666667
0.52;0.4;0.572;0.7986666666666666
0.54;0.42;0.6;0.8426666666666667
0.56;0.44;0.608;0.8813333333333333
0.54;0.42;0.612;0.92
0.52;0.4;0.636;0.9293333333333333
0.54;0.42;0.668;0.9373333333333334
0.56;0.44;0.652;0.9506666666666667
0.58;0.42;0.684;0.9706666666666667
0.56;0.44;0.652;0.964
0.54;0.42;0.672;0.9613333333333334
0.56;0.4;0.632;0.9613333333333334
0.58;0.42;0.68;0.9586666666666667
0.56;0.4;0.68;0.9546666666666667
0.58;0.38;0.712;0.976
0.56;0.36;0.696;0.976
0.54;0.38;0.756;0.9866666666666667
0.56;0.36;0.728;0.9853333333333333
0.58;0.38;0.752;0.9853333333333333
0.56;0.4;0.744;0.9866666666666667
0.58;0.42;0.748;0.9826666666666667
0.6;0.4;0.732;0.9893333333333333
0.62;0.42;0.768;0.9786666666666667
0.64;0.44;0.784;0.9826666666666667
0.62;0.46;0.756;0.9773333333333334
0.6;0.48;0.76;0.976
0.58;0.5;0.78;0.976
0.6;0.52;0.756;0.9853333333333333
0.58;0.5;0.74;0.984
0.56;0.52;0.724;0.9746666666666667
0.54;0.5;0.724;0.9773333333333334
0.52;0.52;0.728;0.984
0.5;0.5;0.744;0.9773333333333334
0.48;0.52;0.748;0.98
0.46;0.54;0.704;0.9786666666666667
0.48;0.52;0.676;0.9813333333333333
0.46;0.5;0.632;0.972
0.44;0.52;0.668;0.968
0.42;0.54;0.632;0.9626666666666667
0.4;0.52;0.648;0.956
0.42;0.5;0.596;0.9653333333333334
0.4;0.48;0.6;0.9586666666666667
0.38;0.5;0.52;0.9493333333333334
0.4;0.48;0.524;0.9266666666666666
0.38;0.5;0.464;0.9253333333333333
0.4;0.48;0.456;0.92
0.38;0.46;0.428;0.9093333333333333
0.36;0.48;0.436;0.8906666666666667
0.38;0.46;0.424;0.844
0.4;0.48;0.432;0.8266666666666667
0.38;0.46;0.44;0.8093333333333333
0.4;0.48;0.384;0.7986666666666666
0.42;0.46;0.44;0.7786666666666666
0.44;0.44;0.452;0.74
0.46;0.46;0.496;0.748
0.44;0.44;0.46;0.7773333333333333
0.42;0.46;0.496;0.7946666666666666
0.4;0.44;0.412;0.8093333333333333
0.38;0.42;0.412;0.7733333333333333
0.36;0.44;0.412;0.7706666666666667
0.34;0.42;0.436;0.7653333333333333
0.36;0.44;0.404;0.7653333333333333
0.34;0.42;0.396;0.7666666666666667
