strat1;strat6
0.9;0.1
0.89;0.11
0.886;0.114
0.886;0.114
0.892;0.108
0.886;0.114
0.904;0.096
0.899;0.101
0.884;0.116
0.867;0.133
0.879;0.121
0.878;0.122
0.886;0.114
0.885;0.115
0.892;0.108
0.905;0.095
0.893;0.107
0.894;0.106
0.895;0.105
0.893;0.107
0.893;0.107
0.901;0.099
0.899;0.101
0.905;0.095
0.919;0.081
0.913;0.087
0.922;0.078
0.929;0.071
0.932;0.068
0.94;0.06
0.934;0.066
0.929;0.071
0.924;0.076
0.926;0.074
0.932;0.068
0.94;0.06
0.936;0.064
0.929;0.071
0.937;0.063
0.945;0.055
0.951;0.049
0.947;0.053
0.938;0.062
0.937;0.063
0.928;0.072
0.918;0.082
0.909;0.091
0.906;0.094
0.893;0.107
0.899;0.101
0.901;0.099
0.909;0.091
0.918;0.082
0.922;0.078
0.915;0.085
0.909;0.091
0.907;0.093
0.91;0.09
0.92;0.08
0.912;0.088
0.905;0.095
0.907;0.093
0.912;0.088
0.92;0.08
0.919;0.081
0.924;0.076
0.923;0.077
0.927;0.073
0.925;0.075
0.923;0.077
0.927;0.073
0.929;0.071
0.923;0.077
0.931;0.069
0.942;0.058
0.946;0.054
0.944;0.056
0.947;0.053
0.947;0.053
0.96;0.04
0.962;0.038
0.957;0.043
0.956;0.044
0.958;0.042
0.963;0.037
0.962;0.038
0.967;0.033
0.967;0.033
0.974;0.026
0.963;0.037
0.956;0.044
0.961;0.039
0.956;0.044
0.951;0.049
0.954;0.046
0.954;0.046
0.955;0.045
0.952;0.048
0.959;0.041
0.953;0.047
0.948;0.052
0.941;0.059
0.941;0.059
0.937;0.063
0.937;0.063
0.943;0.057
0.956;0.044
0.961;0.039
0.962;0.038
0.971;0.029
0.975;0.025
0.983;0.017
0.985;0.015
0.976;0.024
0.972;0.028
0.972;0.028
0.975;0.025
0.971;0.029
0.968;0.032
0.963;0.037
0.967;0.033
0.961;0.039
0.96;0.04
0.966;0.034
0.967;0.033
0.965;0.035
0.961;0.039
0.955;0.045
0.944;0.056
0.926;0.074
0.928;0.072
0.928;0.072
0.935;0.065
0.933;0.067
0.932;0.068
0.929;0.071
0.922;0.078
0.921;0.079
0.908;0.092
0.901;0.099
0.904;0.096
0.909;0.091
0.907;0.093
0.895;0.105
0.904;0.096
0.918;0.082
0.922;0.078
0.919;0.081
0.919;0.081
0.914;0.086
0.908;0.092
0.902;0.098
0.901;0.099
0.905;0.095
0.907;0.093
0.898;0.102
0.908;0.092
0.909;0.091
0.906;0.094
0.907;0.093
0.902;0.098
0.907;0.093
0.9;0.1
0.881;0.119
0.861;0.139
0.874;0.126
0.882;0.118
0.873;0.127
0.862;0.138
0.853;0.147
0.844;0.156
0.843;0.157
0.826;0.174
0.814;0.186
0.814;0.186
0.82;0.18
0.833;0.167
0.841;0.159
0.846;0.154
0.848;0.152
0.857;0.143
0.876;0.124
0.88;0.12
0.878;0.122
0.888;0.112
0.884;0.116
0.886;0.114
0.897;0.103
0.895;0.105
0.891;0.109
0.882;0.118
0.886;0.114
0.904;0.096
0.903;0.097
0.913;0.087
0.926;0.074
0.921;0.079
0.909;0.091
0.898;0.102
0.906;0.094
0.906;0.094
0.901;0.099
0.915;0.085
0.911;0.089
0.919;0.081
0.919;0.081
0.929;0.071
0.917;0.083
0.916;0.084
0.891;0.109
0.877;0.123
0.891;0.109
0.876;0.124
0.874;0.126
0.884;0.116
0.879;0.121
0.89;0.11
0.895;0.105
0.899;0.101
0.905;0.095
0.912;0.088
0.908;0.092
0.924;0.076
0.928;0.072
0.936;0.064
0.939;0.061
0.945;0.055
0.941;0.059
0.935;0.065
0.931;0.069
0.93;0.07
0.937;0.063
0.946;0.054
0.947;0.053
0.95;0.05
0.949;0.051
0.944;0.056
0.942;0.058
0.938;0.062
0.936;0.064
0.938;0.062
0.942;0.058
0.948;0.052
0.948;0.052
0.953;0.047
0.945;0.055
0.942;0.058
0.957;0.043
0.962;0.038
0.96;0.04
0.962;0.038
0.968;0.032
0.973;0.027
0.963;0.037
0.959;0.041
0.955;0.045
0.951;0.049
0.962;0.038
0.964;0.036
0.962;0.038
0.96;0.04
0.96;0.04
0.953;0.047
0.947;0.053
0.955;0.045
0.946;0.054
0.935;0.065
0.934;0.066
0.928;0.072
0.921;0.079
0.922;0.078
0.924;0.076
0.933;0.067
0.937;0.063
0.928;0.072
0.918;0.082
0.922;0.078
0.918;0.082
0.911;0.089
0.913;0.087
0.923;0.077
0.931;0.069
0.93;0.07
0.919;0.081
0.931;0.069
0.921;0.079
0.905;0.095
0.894;0.106
0.883;0.117
0.863;0.137
0.856;0.144
0.866;0.134
0.832;0.168
0.828;0.172
0.83;0.17
0.854;0.146
0.872;0.128
0.875;0.125
0.868;0.132
0.875;0.125
0.887;0.113
0.886;0.114
0.891;0.109
0.879;0.121
0.881;0.119
0.892;0.108
0.901;0.099
0.899;0.101
0.897;0.103
0.905;0.095
0.914;0.086
0.913;0.087
0.906;0.094
0.907;0.093
0.9;0.1
0.91;0.09
0.903;0.097
0.906;0.094
0.915;0.085
0.931;0.069
0.944;0.056
0.943;0.057
0.929;0.071
0.928;0.072
0.922;0.078
0.926;0.074
0.922;0.078
0.919;0.081
0.913;0.087
0.904;0.096
0.9;0.1
0.907;0.093
0.901;0.099
0.905;0.095
0.909;0.091
0.916;0.084
0.929;0.071
0.928;0.072
0.915;0.085
0.925;0.075
0.927;0.073
0.937;0.063
0.946;0.054
0.952;0.048
0.946;0.054
0.946;0.054
0.948;0.052
0.95;0.05
0.948;0.052
0.942;0.058
0.945;0.055
0.955;0.045
0.962;0.038
0.965;0.035
0.956;0.044
0.959;0.041
0.952;0.048
0.959;0.041
0.965;0.035
0.964;0.036
0.961;0.039
0.965;0.035
0.963;0.037
0.967;0.033
0.966;0.034
0.962;0.038
0.961;0.039
0.955;0.045
0.955;0.045
0.953;0.047
0.95;0.05
0.953;0.047
0.942;0.058
0.945;0.055
0.947;0.053
0.939;0.061
0.949;0.051
0.947;0.053
0.948;0.052
0.952;0.048
0.962;0.038
0.961;0.039
0.959;0.041
0.947;0.053
0.937;0.063
0.943;0.057
0.937;0.063
0.945;0.055
0.947;0.053
0.942;0.058
0.94;0.06
0.951;0.049
0.951;0.049
0.96;0.04
0.976;0.024
0.977;0.023
0.971;0.029
0.967;0.033
0.974;0.026
0.983;0.017
0.98;0.02
0.982;0.018
0.983;0.017
0.986;0.014
0.981;0.019
0.983;0.017
0.979;0.021
0.982;0.018
0.981;0.019
0.978;0.022
0.983;0.017
0.976;0.024
0.976;0.024
0.983;0.017
0.983;0.017
0.989;0.011
0.994;0.006
0.995;0.005
0.995;0.005
0.996;0.004
0.995;0.005
0.99;0.01
0.988;0.012
0.986;0.014
0.983;0.017
0.977;0.023
0.988;0.012
0.989;0.011
0.981;0.019
0.984;0.016
0.981;0.019
0.979;0.021
0.975;0.025
0.967;0.033
0.972;0.028
0.967;0.033
0.968;0.032
0.967;0.033
0.964;0.036
0.97;0.03
0.971;0.029
0.961;0.039
0.959;0.041
0.952;0.048
0.939;0.061
0.949;0.051
0.944;0.056
0.94;0.06
0.945;0.055
0.936;0.064
0.948;0.052
0.948;0.052
0.932;0.068
0.932;0.068
0.933;0.067
0.933;0.067
0.927;0.073
0.918;0.082
0.912;0.088
0.902;0.098
0.903;0.097
0.899;0.101
0.895;0.105
0.894;0.106
0.889;0.111
0.887;0.113
0.877;0.123
0.891;0.109
0.883;0.117
0.881;0.119
0.873;0.127
0.89;0.11
0.877;0.123
0.851;0.149
0.852;0.148
0.856;0.144
0.863;0.137
0.847;0.153
0.857;0.143
0.863;0.137
0.859;0.141
0.862;0.138
0.867;0.133
0.856;0.144
0.847;0.153
0.841;0.159
0.846;0.154
0.834;0.166
0.831;0.169
0.834;0.166
0.828;0.172
0.831;0.169
0.84;0.16
0.83;0.17
0.834;0.166
0.849;0.151
0.855;0.145
0.855;0.145
0.86;0.14
0.865;0.135
0.885;0.115
0.877;0.123
0.87;0.13
0.884;0.116
0.889;0.111
0.903;0.097
0.884;0.116
0.873;0.127
0.885;0.115
0.872;0.128
0.846;0.154
0.852;0.148
0.836;0.164
0.831;0.169
0.848;0.152
0.838;0.162
0.848;0.152
0.856;0.144
0.864;0.136
0.888;0.112
0.898;0.102
0.884;0.116
0.896;0.104
0.889;0.111
0.903;0.097
0.893;0.107
0.887;0.113
0.884;0.116
0.876;0.124
0.876;0.124
0.859;0.141
0.847;0.153
0.85;0.15
0.851;0.149
0.853;0.147
0.854;0.146
0.845;0.155
0.834;0.166
0.846;0.154
0.851;0.149
0.849;0.151
0.843;0.157
0.827;0.173
0.836;0.164
0.831;0.169
0.829;0.171
0.809;0.191
0.811;0.189
0.783;0.217
0.789;0.211
0.796;0.204
0.798;0.202
0.784;0.216
0.763;0.237
0.782;0.218
0.787;0.213
0.781;0.219
0.768;0.232
0.747;0.253
0.759;0.241
0.763;0.237
0.756;0.244
0.76;0.24
0.764;0.236
0.744;0.256
0.74;0.26
0.754;0.246
0.752;0.248
0.772;0.228
0.756;0.244
0.761;0.239
0.753;0.247
0.776;0.224
0.773;0.227
0.76;0.24
0.747;0.253
0.771;0.229
0.77;0.23
0.781;0.219
0.776;0.224
0.76;0.24
0.752;0.248
0.747;0.253
0.743;0.257
0.76;0.24
0.779;0.221
0.776;0.224
0.761;0.239
0.756;0.244
0.761;0.239
0.767;0.233
0.758;0.242
0.755;0.245
0.733;0.267
0.703;0.297
0.688;0.312
0.685;0.315
0.698;0.302
0.684;0.316
0.676;0.324
0.687;0.313
0.695;0.305
0.682;0.318
0.666;0.334
0.662;0.338
0.674;0.326
0.695;0.305
0.693;0.307
0.671;0.329
0.659;0.341
0.675;0.325
0.686;0.314
0.689;0.311
0.689;0.311
0.671;0.329
0.683;0.317
0.679;0.321
0.66;0.34
0.644;0.356
0.639;0.361
0.622;0.378
0.626;0.374
0.642;0.358
0.655;0.345
0.645;0.355
0.631;0.369
0.613;0.387
0.602;0.398
0.592;0.408
0.591;0.409
0.583;0.417
0.59;0.41
0.586;0.414
0.566;0.434
0.56;0.44
0.583;0.417
0.581;0.419
0.594;0.406
0.577;0.423
0.558;0.442
0.579;0.421
0.583;0.417
0.578;0.422
0.596;0.404
0.595;0.405
0.587;0.413
0.587;0.413
0.573;0.427
0.586;0.414
0.597;0.403
0.598;0.402
0.612;0.388
0.638;0.362
0.634;0.366
0.641;0.359
0.65;0.35
0.652;0.348
0.685;0.315
0.674;0.326
0.689;0.311
0.682;0.318
0.711;0.289
0.711;0.289
0.71;0.29
0.714;0.286
0.728;0.272
0.73;0.27
0.726;0.274
0.714;0.286
0.698;0.302
0.668;0.332
0.655;0.345
0.665;0.335
0.683;0.317
0.668;0.332
0.673;0.327
0.672;0.328
0.689;0.311
0.684;0.316
0.694;0.306
0.702;0.298
0.702;0.298
0.715;0.285
0.705;0.295
0.689;0.311
0.682;0.318
0.681;0.319
0.668;0.332
0.68;0.32
0.682;0.318
0.681;0.319
0.68;0.32
0.674;0.326
0.675;0.325
0.665;0.335
0.671;0.329
0.665;0.335
0.638;0.362
0.649;0.351
0.66;0.34
0.654;0.346
0.632;0.368
0.63;0.37
0.605;0.395
0.606;0.394
0.61;0.39
0.621;0.379
0.584;0.416
0.588;0.412
0.584;0.416
0.583;0.417
0.587;0.413
0.574;0.426
0.547;0.453
0.546;0.454
0.524;0.476
0.528;0.472
0.544;0.456
0.543;0.457
0.536;0.464
0.529;0.471
0.545;0.455
0.556;0.444
0.533;0.467
0.523;0.477
0.501;0.499
0.511;0.489
0.536;0.464
0.55;0.45
0.518;0.482
0.495;0.505
0.492;0.508
0.514;0.486
0.486;0.514
0.499;0.501
0.495;0.505
0.46;0.54
0.447;0.553
0.429;0.571
0.425;0.575
0.411;0.589
0.421;0.579
0.419;0.581
0.425;0.575
0.423;0.577
0.406;0.594
0.404;0.596
0.402;0.598
0.395;0.605
0.416;0.584
0.408;0.592
0.429;0.571
0.405;0.595
0.424;0.576
0.392;0.608
0.385;0.615
0.374;0.626
0.388;0.612
0.369;0.631
0.376;0.624
0.365;0.635
0.335;0.665
0.368;0.632
0.389;0.611
0.403;0.597
0.412;0.588
0.421;0.579
0.401;0.599
0.39;0.61
0.371;0.629
0.373;0.627
0.398;0.602
0.386;0.614
0.403;0.597
0.391;0.609
0.384;0.616
0.393;0.607
0.382;0.618
0.404;0.596
0.385;0.615
0.364;0.636
0.37;0.63
0.365;0.635
0.351;0.649
0.348;0.652
0.343;0.657
0.336;0.664
0.314;0.686
0.319;0.681
0.353;0.647
0.321;0.679
0.342;0.658
0.314;0.686
0.318;0.682
0.296;0.704
0.287;0.713
0.28;0.72
0.311;0.689
0.318;0.682
0.315;0.685
0.329;0.671
0.347;0.653
0.368;0.632
0.361;0.639
0.339;0.661
0.32;0.68
0.32;0.68
0.323;0.677
0.327;0.673
0.307;0.693
0.33;0.67
0.344;0.656
0.341;0.659
0.333;0.667
0.328;0.672
0.33;0.67
0.325;0.675
0.348;0.652
0.322;0.678
0.323;0.677
0.316;0.684
0.331;0.669
0.325;0.675
0.357;0.643
0.366;0.634
0.374;0.626
0.37;0.63
0.35;0.65
0.356;0.644
0.347;0.653
0.343;0.657
0.343;0.657
0.347;0.653
0.322;0.678
0.304;0.696
0.292;0.708
0.267;0.733
0.246;0.754
0.261;0.739
0.263;0.737
0.275;0.725
0.276;0.724
0.269;0.731
0.261;0.739
0.257;0.743
0.256;0.744
0.267;0.733
0.273;0.727
0.272;0.728
0.259;0.741
0.267;0.733
0.26;0.74
0.245;0.755
0.245;0.755
0.236;0.764
0.263;0.737
0.277;0.723
0.282;0.718
0.275;0.725
0.248;0.752
0.25;0.75
0.243;0.757
0.223;0.777
0.225;0.775
0.209;0.791
0.213;0.787
0.226;0.774
0.213;0.787
0.225;0.775
0.206;0.794
0.222;0.778
0.209;0.791
0.218;0.782
0.21;0.79
0.208;0.792
0.21;0.79
0.215;0.785
0.229;0.771
0.215;0.785
0.224;0.776
0.21;0.79
0.225;0.775
0.245;0.755
0.243;0.757
0.261;0.739
0.268;0.732
0.272;0.728
0.278;0.722
0.275;0.725
0.27;0.73
0.261;0.739
0.254;0.746
0.256;0.744
0.257;0.743
0.256;0.744
0.257;0.743
0.256;0.744
0.245;0.755
0.23;0.77
0.259;0.741
0.266;0.734
0.282;0.718
0.279;0.721
0.29;0.71
0.316;0.684
0.307;0.693
0.322;0.678
0.326;0.674
0.332;0.668
0.343;0.657
0.364;0.636
0.322;0.678
0.333;0.667
0.337;0.663
0.382;0.618
0.379;0.621
0.393;0.607
0.402;0.598
0.434;0.566
0.428;0.572
0.422;0.578
0.389;0.611
0.377;0.623
0.381;0.619
0.391;0.609
0.397;0.603
0.38;0.62
0.369;0.631
0.373;0.627
0.366;0.634
0.364;0.636
0.345;0.655
0.346;0.654
0.328;0.672
0.327;0.673
0.333;0.667
0.358;0.642
0.356;0.644
0.358;0.642
0.382;0.618
0.394;0.606
0.379;0.621
0.384;0.616
0.375;0.625
0.348;0.652
0.364;0.636
0.386;0.614
0.38;0.62
0.383;0.617
0.38;0.62
0.375;0.625
0.364;0.636
0.359;0.641
0.369;0.631
0.41;0.59
0.404;0.596
0.388;0.612
0.384;0.616
0.371;0.629
0.357;0.643
0.371;0.629
0.366;0.634
0.367;0.633
0.337;0.663
0.338;0.662
0.336;0.664
0.358;0.642
0.351;0.649
0.367;0.633
0.361;0.639
0.374;0.626
0.336;0.664
0.319;0.681
0.333;0.667
0.317;0.683
0.326;0.674
0.32;0.68
0.306;0.694
0.312;0.688
0.304;0.696
0.314;0.686
0.294;0.706
0.279;0.721
0.292;0.708
0.27;0.73
0.254;0.746
0.293;0.707
0.302;0.698
0.295;0.705
0.286;0.714
0.289;0.711
